algorithm,hyper_parameters,data_transformation
Logistic Regression,"{'C': 0.1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'lbfgs'}",Normalization + Logarithm + Differences
Logistic Regression,"{'C': 0.1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l1', 'solver': 'saga'}",Normalization + Logarithm + Differences
Logistic Regression,"{'C': 0.1, 'l1_ratio': 1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",Normalization + Logarithm + Differences
K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",Normalization + Logarithm + Differences
K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",Normalization + Logarithm + Differences
K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",Normalization + Logarithm + Differences
K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",Normalization + Logarithm + Differences
K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",Normalization + Logarithm + Differences
K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",Normalization + Logarithm + Differences
K-Nearest Neighbours,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 8, 'p': 2, 'weights': 'distance'}",Normalization + Logarithm + Differences
K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",Normalization + Logarithm + Differences
K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",Normalization + Logarithm + Differences
K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",Normalization + Logarithm + Differences
K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",Normalization + Logarithm + Differences
K-Nearest Neighbours,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",Normalization + Logarithm + Differences
